filename,width,height,class,xmin,ymin,xmax,ymax
905a051a-0649-4b4a-8dc7-273952cbd832___Crnl_L-Mold-6574_JPG.rf.c783052447e52b88096106d23d7fda76.jpg,256,256,leaf_mold,24,17,245,248
Tomato___Tomato_mosaic_virus_original_15f1e22a-9c70-4060-a275-fac10c196341___PSU_CG-2118-JPG_e1093d0f-da8e-4947-ab87-1b74bd18cbc6_JPG.rf.c953f551b043ced2c7bc5238906b4a33.jpg,256,256,mosaic_virus,65,29,220,227
eca409c5-fd2b-4fab-9a54-4fad60a205d8___Crnl_L-Mold-8875_JPG.rf.c8fac0089922b531221d517d87491f53.jpg,256,256,leaf_mold,15,6,198,249
be22c9d7-82af-4062-89c3-24cc59d461dd___GHLB-Leaf-1-6-Day-12_JPG.rf.c71160120c77f5740029b14ac7f1cb84.jpg,256,256,late_blight,72,6,252,253
be22c9d7-82af-4062-89c3-24cc59d461dd___GHLB-Leaf-1-6-Day-12_JPG.rf.c71160120c77f5740029b14ac7f1cb84.jpg,256,256,late_blight,0,2,170,171
de5c0550-5f5a-4148-9fa1-a3d52b9ec811___UF-GRC_BS_Lab-Leaf-0660_JPG.rf.c8429b485736501f7d40e605a658af54.jpg,256,256,bacterial_spot,45,10,205,256
ff2bb757-d8ac-43df-8161-4c2ef1806055___UF-GRC_YLCV_Lab-01758_JPG.rf.c963f1a4a0c9d9e67f5b90c05ae1a4cf.jpg,256,256,yellow_leaf_curl_virus,8,7,235,201
ff2bb757-d8ac-43df-8161-4c2ef1806055___UF-GRC_YLCV_Lab-01758_JPG.rf.c963f1a4a0c9d9e67f5b90c05ae1a4cf.jpg,256,256,yellow_leaf_curl_virus,100,201,192,248
789f463a-7f74-4fc4-9eb7-b8a8c3bd3786___Com-G_TgS_FL-1052_JPG.rf.c78acd012c3471d6a4521532defa325a.jpg,256,256,target_spot,14,3,246,237
830ed62d-ec4b-4df9-97fe-fddf36d7c3cb___PSU_CG-2301_JPG.rf.c99c837e22ef3ad4388fbf34fb986e2d.jpg,256,256,mosaic_virus,15,67,233,223
87a68b92-1fd4-4cb8-abb2-1e5be151d6c3___Com-G_TgS_FL-0939_JPG.rf.c9339af499e29b71f216ce289fd1a84c.jpg,256,256,target_spot,30,12,241,245
feda8fd2-1d18-443e-a7d9-15bd6bf8ce66___RS_HL-0332_JPG.rf.c8f995b7cae462579ec3b772376a32ea.jpg,256,256,healthy,31,12,235,236
877ef529-6d52-4af3-8284-2f2e12b56c1e___Matt-S_CG-0779_JPG.rf.c97d187b9b0094e94b2130ea46cd6703.jpg,256,256,septoria_leaf_spot,3,2,256,254
f749db6e-2f75-4576-b53a-6997cf60ff7a___UF-GRC_YLCV_Lab-01867_JPG.rf.c98e64fb44c9a80d7b932578a6b8d9c7.jpg,256,256,yellow_leaf_curl_virus,9,3,242,211
cc24a097-d7aa-46b3-808d-d31acc19c97b___Matt-S_CG-2645_JPG.rf.c694ab06224febb68c72a0f7aa99e436.jpg,256,256,septoria_leaf_spot,29,11,221,250
a118d49a-e8aa-43cd-ac08-0c821ffd1ecb___JR_Sept-L-S-2644_JPG.rf.c9a838bffc33bea64862efe957ad50fd.jpg,256,256,septoria_leaf_spot,49,10,247,211
dc864cad-1326-46e6-a670-2a3949948d95___Com-G_SpM_FL-9010_JPG.rf.ca697a02308f667f7c7668ee900e3511.jpg,256,256,spider_mites,37,26,227,246
e73a233d-84c8-407a-aefa-8a3865450351___GH_HL-Leaf-222_JPG.rf.ca733a9f43f0aa90e559a7d93bd4c809.jpg,256,256,healthy,35,13,227,237
ef3dc681-0b48-4453-aa1f-1f898b86df8c___Keller-St_CG-1958_JPG.rf.ca971c7d8cd3a79773e6350f3e478cb1.jpg,256,256,septoria_leaf_spot,51,41,205,223
a342423d-7c62-4fcd-a9c6-d92d586b5023___GCREC_Bact-Sp-3754_JPG.rf.caf27e39f079a217fea5b6133da0cc69.jpg,256,256,bacterial_spot,10,14,234,241
1506485f-0fba-4e0a-aecf-36f9c5bae096___GCREC_Bact-Sp-5543_JPG.rf.cb3bb4c7933f3247bd9d5b2b778ee35d.jpg,256,256,bacterial_spot,32,5,249,248
a67b9ba1-99ff-4826-8f7b-1b89ca61980e___RS_Erly-B-7597_JPG.rf.ca0ae4243a8c74adf279412f09fa4edd.jpg,256,256,early_blight,30,18,210,234
d6843a48-8f16-40af-8f67-7230395c0aa4___YLCV_NREC-2262_JPG.rf.cc40817f930206e307c19670d7a8c7b4.jpg,256,256,yellow_leaf_curl_virus,45,33,210,198
916574f0-df2f-4d9e-8ba1-0dbd7b702229___UF-GRC_BS_Lab-Leaf-0624_JPG.rf.cac9cf1c768d1f72adf6638a581121d1.jpg,256,256,bacterial_spot,57,10,194,251
Tomato___Tomato_mosaic_virus_original_d9812306-9ab7-4c41-8c08-0aaaa0a9db5f___PSU_CG-2056-JPG_e113f148-83d6-4c46-90f1-4540bccdc134_JPG.rf.c726ced68036cd185476cb93c9bd08f6.jpg,256,256,mosaic_virus,40,45,228,185
ac04851f-ae27-4dc8-9ccf-d23e5a56d6f3___RS_Erly-B-9587_JPG.rf.cc4fcaf7f0874134c3546f6b29d2d37e.jpg,256,256,early_blight,4,14,245,244
ee4cb522-6d57-41a5-a425-f1038a1ffe9f___UF-GRC_YLCV_Lab-01432_JPG.rf.cb56df855ae811fe0f3bb943a6db88b8.jpg,256,256,yellow_leaf_curl_virus,17,6,241,197
b2793705-a666-4ba0-ac9f-3b60fc0bbdf4___RS_HL-0342_JPG.rf.cbf05e7c820ab0b91c243c3e51ec7029.jpg,256,256,healthy,34,3,229,229
ba30a8ef-d2b9-4c5a-8433-d52e0cdfa6fe___GCREC_Bact-Sp-3202_JPG.rf.cbf674ceae5cfd07c02054a79bd97f26.jpg,256,256,bacterial_spot,12,13,239,248
73f77cb0-f4ee-4500-ac3f-2cd6c79585ed___Crnl_L-Mold-7000_JPG.rf.cb78b7ba61293a5b035de274969003a6.jpg,256,256,leaf_mold,23,16,205,236
450cb7b3-5489-4fe1-8897-491d70e9d1a4___Com-G_SpM_FL-8415_JPG.rf.cdea9aea062dd7a0977d19287c980b2e.jpg,256,256,spider_mites,43,7,204,256
Tomato___Tomato_mosaic_virus_original_388f46e3-32d3-45f3-84fd-12cb06feed12___PSU_CG-2119-JPG_c8207126-96b4-4a4c-af37-2a268cfa2757_JPG.rf.cd93c61c19059d644629ae403649c362.jpg,256,256,mosaic_virus,48,63,209,231
9667b27d-09e8-4776-97bf-e6088227d26d___Crnl_L-Mold-6670_JPG.rf.ca5ead7cb482602ea5d6d42b28d78aff.jpg,256,256,leaf_mold,7,8,230,206
1329e768-8331-4853-8d35-c03f5586c645___GHLB2-Leaf-8867_JPG.rf.cebd3150bc0d5b47f4d96db5ca5aac15.jpg,256,256,late_blight,57,38,151,231
4797e35c-7ec7-4853-95d5-c9fa4b6c0be9___Crnl_L-Mold-9162_JPG.rf.cd3a984f7aca0fcc796e198f628b8dd2.jpg,256,256,leaf_mold,10,8,244,234
fe76e31b-383a-4c3d-a086-3dc951fc18f2___Com-G_SpM_FL-8617_JPG.rf.ccf6bbb0b125802340ad1ea67ad243f9.jpg,256,256,spider_mites,32,4,240,245
e38e01c9-c22c-41d9-9391-7f0227cfc666___Matt-S_CG-1373_JPG.rf.ce797c9dd6cbd34b3674a21bfec26ae6.jpg,256,256,septoria_leaf_spot,24,8,230,243
389a93c4-2ea1-4df5-94c6-01ea8ad856db___RS_Erly-B-7720_JPG.rf.cdd3dda07ddd3a1acb182203bace8011.jpg,256,256,early_blight,49,0,199,241
a7a2b856-0355-4c9a-a066-d3f27d0d6d99___Com-G_TgS_FL-8013_JPG.rf.cbb3ccb33d7ecf85642aeb421d815d7f.jpg,256,256,target_spot,52,15,240,256
c89a6ab4-59ab-4267-921d-cc39cb65af36___Com-G_SpM_FL-8418_JPG.rf.cfa287351e7ef37b494f479da4006489.jpg,256,256,spider_mites,39,11,212,253
fc5d2094-6116-423e-9d2a-a0cc1c7b19af___Matt-S_CG-2529_JPG.rf.c9f4f35bf99807a9a30451ad0eb947ff.jpg,256,256,septoria_leaf_spot,13,3,254,246
d3732d4c-b7a5-4a11-9290-d3faf28c204b___Com-G_SpM_FL-9023_JPG.rf.cdd8301e22de5336f78e086ff1507188.jpg,256,256,spider_mites,50,16,164,213
d2b21778-763d-4333-be05-50e71a8738cd___Matt-S_CG-1083_JPG.rf.cd70012f0b6e72a89fde555b9ec916ba.jpg,256,256,septoria_leaf_spot,7,3,246,213
a4d3047a-8db1-42b6-9fe0-943a65159116___Com-G_TgS_FL-9975_JPG.rf.cfb1e7e66ed1525df272ca46e97bc994.jpg,256,256,target_spot,44,19,206,212
b0d67356-4a29-4265-b549-3dc32c654c27___Com-G_SpM_FL-9365_JPG.rf.d14bb03c6a5c54fbf7606f140f00f404.jpg,256,256,spider_mites,31,27,240,232
d0c0535c-8273-4a9a-9fea-8ab8402e3f92___Keller-St_CG-1878_JPG.rf.d041f7f791ab68b4b4e57fc70bd98c36.jpg,256,256,septoria_leaf_spot,69,73,165,222
b461fd42-7a0c-4b61-adb5-278f77dbc61a___RS_Late-B-5404_JPG.rf.d0c6165479dc3839087523d761abec42.jpg,256,256,late_blight,16,14,237,242
b9072867-69f3-4ea7-9afb-06781b4a4f2f___GCREC_Bact-Sp-3253_JPG.rf.d22a8dc4d27d7ecff860b1d58e66daa2.jpg,256,256,bacterial_spot,10,8,238,245
1006c73b-19f8-4771-9fe5-3fc4908e8da3___RS_HL-0557_JPG.rf.cf68746444cf4cf60db15b6ecfb11721.jpg,256,256,healthy,22,7,233,239
a8fffa7c-14eb-4b8c-8628-7349dd2a4561___RS_HL-9925_JPG.rf.d1c351e42ea3988b5b05a50b3144d2fc.jpg,256,256,healthy,12,4,214,250
d6621644-a8d8-412c-8b14-31f453247cfc___Com-G_SpM_FL-1174_JPG.rf.cee361be5d15d4e835c46747742c6872.jpg,256,256,spider_mites,1,12,213,217
9580a3c7-f614-4f5c-b660-8b9525865917___Keller-St_CG-1858_JPG.rf.d158bf8317727967603ea66c2c8346fa.jpg,256,256,septoria_leaf_spot,36,24,184,197
88608ab3-6f80-4b0c-988d-038a3094d972___UF-GRC_BS_Lab-Leaf-9179_JPG.rf.d22f31a384c2c3d2705cff355ef1cd00.jpg,256,256,bacterial_spot,42,6,233,244
6550c4ca-9494-4de5-8909-d0cdab8f0892___RS_HL-0401_JPG.rf.cfb4fddeefe317c26e206fe2d770751d.jpg,256,256,healthy,31,15,244,244
8938dd69-1d88-4885-8a20-b0db3ab84817___RS_Late-B-5417_JPG.rf.d2df0bed78c119de6d3da8c207b19520.jpg,256,256,late_blight,11,17,245,239
5467ad1f-7db3-4b4d-907a-12ea50ef84c3___Crnl_L-Mold-7097_JPG.rf.d07792c6a8f09cd5a91164d004d021f9.jpg,256,256,leaf_mold,17,23,213,235
e9db85a4-65fb-4625-9c97-1e636a03565f___UF-GRC_YLCV_Lab-02306_JPG.rf.d2d7c42ac2f488cc6fd31e1a78c49ef9.jpg,256,256,yellow_leaf_curl_virus,8,10,243,201
a0229f31-ff4c-43fb-92f0-932716d1756b___Com-G_SpM_FL-9599_JPG.rf.d21f84076e320a792116a9570b7998a8.jpg,256,256,spider_mites,50,11,213,237
Tomato___Tomato_mosaic_virus_original_a2bc1805-22f6-48a3-8718-cd2b0ed9eb16___PSU_CG-2225-JPG_b14842e3-c66c-4207-b376-789a3960d032_JPG.rf.d18a12174274ae6818a0a3945d8c7552.jpg,256,256,mosaic_virus,60,0,219,199
a86b02a2-3f97-4ce9-a9ff-1a77c36f9e4d___GHLB2-Leaf-8903_JPG.rf.ce07209bc1e16489b708ca49290ff6de.jpg,256,256,late_blight,76,48,163,226
dea347a1-4303-48e1-8db0-997d084e6bd0___RS_HL-9724_JPG.rf.d2cc16329e2a88d0b40c4be148ef170a.jpg,256,256,healthy,84,10,196,232
e1d28219-50e4-4fae-be14-ab80ffe0c748___Crnl_L-Mold-6969_JPG.rf.d3a0dd167d102bbf4e5c1cd63932d107.jpg,256,256,leaf_mold,23,40,230,189
053f0efc-038f-471b-9e7b-5b605d45fda4___Crnl_L-Mold-8982_JPG.rf.d3ec7c502c166cd4f6afa8ac3113e5d6.jpg,256,256,leaf_mold,19,8,237,246
Tomato___Leaf_Mold_original_91eeb305-5a5f-4e72-8258-776ea9ed6338___Crnl_L-Mold-7112-JPG_27d81185-ad84-4e97-adcf-30f867d7a156_JPG.rf.d45b1f24936018052c584b6c5ff05652.jpg,256,256,leaf_mold,29,32,233,226
f581a55f-a154-4266-8306-aa00abd9ebe8___Com-G_SpM_FL-9301_JPG.rf.d1b406c6ce5c2cb20af71fe30684bf29.jpg,256,256,spider_mites,53,13,200,235
a554c4d2-6eb9-438f-ae54-9477b0428ddf___GCREC_Bact-Sp-5570_JPG.rf.d50f2b27059b0e650551d7eebbc68d0f.jpg,256,256,bacterial_spot,12,8,256,248
da8c3dd0-743a-4251-a2f3-87329fd633cf___Com-G_TgS_FL-8138_JPG.rf.d551184801a5c147972ac5d72fd17623.jpg,256,256,target_spot,32,19,236,247
f15b868b-23ae-4e87-8053-6199c363e079___GHLB2-Leaf-8984_JPG.rf.d5f1d9b2014bc492461b4936497f8324.jpg,256,256,late_blight,71,106,162,210
f59545f4-cded-405a-bf6f-f4b77e51e2ff___RS_Erly-B-7737_JPG.rf.d46609f953f2dbfecd26d93089728247.jpg,256,256,early_blight,36,11,164,181
b1f047e9-a4c2-45c1-8861-d52828c1444d___GHLB2-Leaf-106_JPG.rf.d0ba74a32fb0ba1467097ff88b9f4633.jpg,256,256,late_blight,31,0,203,248
e4404de4-7958-4e77-a7ed-664dd0d7f2c9___GCREC_Bact-Sp-5906_JPG.rf.d59ab85f2010e119db5cf97a3d06f898.jpg,256,256,bacterial_spot,18,11,228,244
94451749-fc16-42bc-93f9-89f08e7e3a7d___Com-G_SpM_FL-8789_JPG.rf.d5dc97069e14a19d60cff1d5366632c3.jpg,256,256,spider_mites,36,13,242,245
19014458-f5de-4c92-beb5-8faf0e6a6bf3___Crnl_L-Mold-8754_JPG.rf.d5e6cac61a860e98e6ecfe4989dd9e23.jpg,256,256,leaf_mold,34,14,227,233
a06020fc-7c74-4cc8-bd8f-9a18d7731857___Matt-S_CG-6750_JPG.rf.d3d142b534791c8206655e0bc7fd76e8.jpg,256,256,septoria_leaf_spot,10,9,252,218
Tomato___Tomato_mosaic_virus_original_b23eb7f0-daa4-4775-a09c-f87363bdc141___PSU_CG-2255-JPG_3f773cca-9245-413b-a967-bc46181d80cb_JPG.rf.d66d86d32d663ec3cf03cfefd5a31bb9.jpg,256,256,mosaic_virus,21,45,179,213
d5380a5d-03bb-46d1-ae25-b245f3eec822___Matt-S_CG-7626_JPG.rf.d106f86784ee68f7af695e182d266d05.jpg,256,256,septoria_leaf_spot,22,11,249,250
fcf86e69-6cd1-4f45-9358-bc49cf641bd7___YLCV_NREC-2712_JPG.rf.d53aab20693a3dc5dd15ab574814f013.jpg,256,256,yellow_leaf_curl_virus,27,7,218,188
e2cd8a78-ae65-4743-9ecf-839647cac550___RS_HL-9833_JPG.rf.d60c4afe12ba58d8ef70b560e9b66745.jpg,256,256,healthy,11,3,235,243
40860ca0-2ec2-43be-817d-ef19ae1c10af___GCREC_Bact-Sp-6097_JPG.rf.d5d9b6fff41dbc4f7c0f47cc530d8c3c.jpg,256,256,bacterial_spot,15,6,236,245
Tomato___Early_blight_original_6873f362-d13b-41f7-a44d-da51875e46f1___RS_Erly-B-9436-JPG_3ee5ce14-30cd-4a84-ab0d-a3de354b634d_JPG.rf.d489ea14d6f04c625cbe3eac6eb4a4db.jpg,256,256,early_blight,17,39,252,245
d5c25507-51c8-4565-9c4f-2e991cf83721___GCREC_Bact-Sp-6112_JPG.rf.d89f57473227b202d21282838c10b3bb.jpg,256,256,bacterial_spot,14,13,246,247
a24d6927-cb21-4d9b-acc1-780ef36cbbf8___RS_Erly-B-7671_JPG.rf.d73323aab72ba9e1c0a763a08f3a89d0.jpg,256,256,early_blight,65,16,231,248
f7f90078-4728-4ee5-a383-0174afba2020___Com-G_TgS_FL-7894_JPG.rf.d9670f1563ad56f3860aa9a61f24cf37.jpg,256,256,target_spot,13,7,253,215
Tomato___Tomato_mosaic_virus_original_67c65196-795d-4df0-bbd8-0c18af1028c1___PSU_CG-2387-JPG_bb27f394-fb22-4c4c-8d44-3b0a00be321d_JPG.rf.d733fa0d178266b697fc1e4ce6883c1d.jpg,256,256,mosaic_virus,22,45,227,190
b13c290b-1113-44a9-967b-5c1eeb280a42___Com-G_TgS_FL-8053_JPG.rf.d77a04f55382f6b072d4adda86e562ba.jpg,256,256,target_spot,22,7,244,256
c5150ba8-d8c4-47a3-9938-83715b767693___RS_Late-B-6912_JPG.rf.d711668cc8d62a93bc36effc167f5cb5.jpg,256,256,late_blight,22,8,239,233
3956f2c5-b3a4-49a4-8612-c7003d62698b___RS_Late-B-6287_JPG.rf.d8b9fb2de7033520e5d4238776eeb3bc.jpg,256,256,late_blight,20,0,205,248
dbee8b94-3efc-4e09-9710-a95517728d28___GCREC_Bact-Sp-3737_JPG.rf.d69c3972eb2a8732f9ba32d778d26f1b.jpg,256,256,bacterial_spot,26,7,248,256
f2f180d1-45fb-46b6-b528-63a7f87dd78a___GCREC_Bact-Sp-5911_JPG.rf.d9e38d2e72c1edea686d062a2831ab95.jpg,256,256,bacterial_spot,34,9,236,251
f7061a2b-cea4-4b99-8088-cca7585b6845___UF-GRC_YLCV_Lab-02740_JPG.rf.d7b2823ab677a9230fdeea0772bf6ca5.jpg,256,256,yellow_leaf_curl_virus,41,18,220,218
8f4781c0-53fa-4056-839e-400915d8aa5e___Crnl_L-Mold-6683_JPG.rf.da29f4fa7877b81329711eeeda86192a.jpg,256,256,leaf_mold,13,22,222,238
efc39e99-aec6-4afa-b32a-85f09083c313___Com-G_TgS_FL-8051_JPG.rf.d322534e7a3fba3201e81f65f97a5184.jpg,256,256,target_spot,28,8,233,240
d97b4cea-9445-4051-bc20-f8421dac0d4b___Crnl_L-Mold-6704_JPG.rf.d66da812a42abb314a02c797c4b5a856.jpg,256,256,leaf_mold,6,13,229,210
c9b3ded8-745a-430b-834b-f82572dda94b___Com-G_TgS_FL-9977_JPG.rf.d7445af31c0820a8e03df60d15189d07.jpg,256,256,target_spot,68,22,232,210
124f2b6c-ba93-46dc-9662-04ec2b631a23___PSU_CG-2084_JPG.rf.d3629c620bcb9de80cd4e1779cc7f428.jpg,256,256,mosaic_virus,61,27,200,195
9a1244ad-a278-41bb-99e7-f7d2fcff0b98___Crnl_L-Mold-7029_JPG.rf.d81c6986ba5f2df979cb04b276a01eea.jpg,256,256,leaf_mold,73,32,229,228
3890da39-cc56-47ae-bc49-547565b69dc0___PSU_CG-2248_JPG.rf.da7c415c2eae2c10801170f09296da5a.jpg,256,256,mosaic_virus,45,17,225,183
e5ffffda-a26d-4bb1-8d73-5ca656e2ff22___UF-GRC_YLCV_Lab-01986_JPG.rf.d85bc962d8e17190de85268980d90dc5.jpg,256,256,yellow_leaf_curl_virus,34,33,218,237
b6690f04-b49a-43eb-8804-67eeffae7950___RS_HL-0518_JPG.rf.d7256369e927c685df7a191061e53182.jpg,256,256,healthy,7,12,241,233
af1e0a25-54f6-46de-bf77-666952e4bebc___Matt-S_CG-2604_JPG.rf.d7cc44b0c105f9f799197e63edcd891f.jpg,256,256,septoria_leaf_spot,10,8,238,250
e4df0a0f-a7cf-4797-a888-9f28d916bccd___GCREC_Bact-Sp-5870_JPG.rf.da91ac5db33313b0ad113237f3b08e28.jpg,256,256,bacterial_spot,12,1,244,238
ee328e30-524c-4bcd-86f2-e9facfa6c5ae___GCREC_Bact-Sp-6002_JPG.rf.dbcd37018c7d9349711651bc2ffbd9f0.jpg,256,256,bacterial_spot,27,12,238,249
Tomato___Tomato_mosaic_virus_original_570486a0-abe0-4046-add9-14aab37de620___PSU_CG-2313-JPG_739474da-f265-40a7-bbce-8a2b0511bbe3_JPG.rf.db1cd9ad69674f14272177e0e193c1d0.jpg,256,256,mosaic_virus,45,39,195,222
Tomato___Tomato_mosaic_virus_original_14112644-0ec3-465b-af00-ac2286d8e15f___PSU_CG-2344-JPG_7e71babf-9d40-451e-b27b-7beec147d821_JPG.rf.dba228399fda1178cfa2e1cdcef91aa4.jpg,256,256,mosaic_virus,59,31,221,251
f5e90a98-8ea6-4547-a417-8370d08a1e1f___RS_Late-B-5196_JPG.rf.dbe391e0bb0792c0437e55c1af6bf923.jpg,256,256,late_blight,30,10,249,228
